Registration Number,Building Name,Floor Details
PBRERA-SAS80-PR0067,BLOCK 3,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0067,BLOCK 9,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0067,BLOCK 10,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0067,BLOCK 1,"Number of Floor/Plots Currently Sanctioned: 4
Number of Floor/Plots Proposed: 4
Number of Floors Constructed: 3"
PBRERA-SAS80-PR0067,BLOCK 2,"Number of Floor/Plots Currently Sanctioned: 4
Number of Floor/Plots Proposed: 4
Number of Floors Constructed: 3"
PBRERA-SAS80-PR0067,BLOCK 4,"Number of Floor/Plots Currently Sanctioned: 6
Number of Floor/Plots Proposed: 6
Number of Floors Constructed: 6"
PBRERA-SAS80-PR0067,BLOCK 5,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS80-PR0067,BLOCK 6,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS80-PR0067,BLOCK 7,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS80-PR0067,BLOCK 8,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS80-PM0166,COMMERCIAL POCKET 2 BOOTH,"Number of Floor/Plots Currently Sanctioned: 20
Number of Floor/Plots Proposed: 25
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0166,COMMERCIAL POCKET 1 BOOTH,"Number of Floor/Plots Currently Sanctioned: 46
Number of Floor/Plots Proposed: 59
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0166,COMMERCIAL POCKET 1 SCO,"Number of Floor/Plots Currently Sanctioned: 8
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0166,COMMERCIAL POCKET 1 SHOPS,"Number of Floor/Plots Currently Sanctioned: 18
Number of Floor/Plots Proposed: 22
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0166,COMMERCIAL POCKET 3 BOOTH,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 31
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0166,SIGNATURE LAKE CITY PLOTS,"Number of Floor/Plots Currently Sanctioned: 368
Number of Floor/Plots Proposed: 419
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0027,RESIDENTIAL,"Number of Floor/Plots Currently Sanctioned: 500
Number of Floor/Plots Proposed: 500
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0027,RESIDENTIAL,"Number of Floor/Plots Currently Sanctioned: 11
Number of Floor/Plots Proposed: 11
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0027,COMMERCIAL,"Number of Floor/Plots Currently Sanctioned: 20
Number of Floor/Plots Proposed: 20
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0021,COMMERCIAL,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0021,RESIDENTIAL,"Number of Floor/Plots Currently Sanctioned: 86
Number of Floor/Plots Proposed: 86
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0893,BLOCK A,"Number of Floor/Plots Currently Sanctioned: 14
Number of Floor/Plots Proposed: 14
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0893,BLOCK B,"Number of Floor/Plots Currently Sanctioned: 14
Number of Floor/Plots Proposed: 14
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0893,BLOCK C,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0893,BLOCK D,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0893,EWS BLOCK E,"Number of Floor/Plots Currently Sanctioned: 8
Number of Floor/Plots Proposed: 8
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 1,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 2,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 3,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 4,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 5,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 6,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 7,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 8,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 9,"Number of Floor/Plots Currently Sanctioned: 23
Number of Floor/Plots Proposed: 23
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 10,"Number of Floor/Plots Currently Sanctioned: 24
Number of Floor/Plots Proposed: 24
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,BLOCK 2,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,BLOCK 3 AND 4,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,COMMERCIAL POCKET-1,"Number of Floor/Plots Currently Sanctioned: 7
Number of Floor/Plots Proposed: 7
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,COMMERCIAL POCKET-2,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,COMMERCIAL POCKET-3,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,BLOCK-1,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0824,COMMERCIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 8
Number of Floor/Plots Proposed: 8
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0824,RESIDENTIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 88
Number of Floor/Plots Proposed: 88
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0727,RESIDENTIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 167
Number of Floor/Plots Proposed: 167
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0692,BOLLYWOOD GREEN CITY IN PLOT 85-108,"Number of Floor/Plots Currently Sanctioned: 4
Number of Floor/Plots Proposed: 4
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 1,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 2,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 3,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 4,"Number of Floor/Plots Currently Sanctioned: 14
Number of Floor/Plots Proposed: 14
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 5A,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 5B,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 5C,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 6A,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 6B,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,SHOPS,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,CLUB,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0464,SIGNATURE CITY,"Number of Floor/Plots Currently Sanctioned: 500
Number of Floor/Plots Proposed: 500
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0464,SIGNATURE CITY,"Number of Floor/Plots Currently Sanctioned: 201
Number of Floor/Plots Proposed: 201
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0464,SIGNATURE CITY,"Number of Floor/Plots Currently Sanctioned: 10
Number of Floor/Plots Proposed: 10
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0464,SIGNATURE CITY,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0462,RIVERDALE EXTENTION,"Number of Floor/Plots Currently Sanctioned: 152
Number of Floor/Plots Proposed: 152
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0462,COMMERCIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PC0267,COMMERCIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-LDH45-PR0415,POCKET 6,"Number of Floor/Plots Currently Sanctioned: 43
Number of Floor/Plots Proposed: 43
Number of Floors Constructed: 0"
PBRERA-LDH45-PR0414,POCKET 9,"Number of Floor/Plots Currently Sanctioned: 22
Number of Floor/Plots Proposed: 22
Number of Floors Constructed: 0"
PBRERA-LDH45-PR0387,POCKET 5,"Number of Floor/Plots Currently Sanctioned: 33
Number of Floor/Plots Proposed: 33
Number of Floors Constructed: 0"
PBRERA-LDH45-PR0386,POCKET 7,"Number of Floor/Plots Currently Sanctioned: 107
Number of Floor/Plots Proposed: 107
Number of Floors Constructed: 0"
PBRERA-LDH45-PR0385,POCKET 8,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 0"
PBRERA-LDH45-PR0052,POCKET 3 PLOTS,"Number of Floor/Plots Currently Sanctioned: 208
Number of Floor/Plots Proposed: 208
Number of Floors Constructed: 0"
PBRERA-LDH45-PR0052,POCKET 3 VILLA,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-LDH45-PR0052,POCKET 3 PLOTS,"Number of Floor/Plots Currently Sanctioned: 500
Number of Floor/Plots Proposed: 500
Number of Floors Constructed: 0"
PBRERA-LDH45-PR0041,RESIDENTIAL,"Number of Floor/Plots Currently Sanctioned: 157
Number of Floor/Plots Proposed: 157
Number of Floors Constructed: 0"
PBRERA-LDH45-PR0041,VILLAS,"Number of Floor/Plots Currently Sanctioned: 59
Number of Floor/Plots Proposed: 59
Number of Floors Constructed: 0"
PBRERA-LDH45-PR0041,EXPANDABLE,"Number of Floor/Plots Currently Sanctioned: 24
Number of Floor/Plots Proposed: 24
Number of Floors Constructed: 0"
PBRERA-LDH45-PR0020,TOWER T1,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 15"
PBRERA-LDH45-PR0020,TOWER T2,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 15"
PBRERA-LDH45-PR0020,TOWER T3,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 15"
PBRERA-LDH45-PR0020,TOWER T4,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 13"
PBRERA-LDH45-PR0020,CONVENIENT SHOPPING,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 1"
PBRERA-LDH45-PR0004,POCKET 2,"Number of Floor/Plots Currently Sanctioned: 140
Number of Floor/Plots Proposed: 140
Number of Floors Constructed: 0"
PBRERA-LDH45-PR0001,A - ASPEN1,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-LDH45-PR0001,A2 - ASPEN2,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-LDH45-PR0001,A1 - ASPEN3,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-LDH45-PR0001,A - ASPEN4,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-LDH45-PR0001,B2 - MULBERRY 1,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-LDH45-PR0001,B1 - MULBERRY 2,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-LDH45-PR0001,B1 - MULBERRY 3,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-LDH45-PR0001,B1' - MULBERRY 4,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-LDH45-PR0001,B1A - MULBERRY 5,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-LDH45-PR0001,C1B - MAPLE 1,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-LDH45-PR0001,C1 - MAPLE2,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-LDH45-PR0001,C1A - MAPLE3,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-LDH45-PR0001,C2 - MAPLE4,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-LDH45-PR0001,D2 - HAZEL1,"Number of Floor/Plots Currently Sanctioned: 11
Number of Floor/Plots Proposed: 11
Number of Floors Constructed: 11"
PBRERA-LDH45-PR0001,D1 - HAZEL2,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-LDH44-PR0548,RESIDENTIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 24
Number of Floor/Plots Proposed: 24
Number of Floors Constructed: 0"
PBRERA-LDH44-PR0548,INSTITUTIONAL SITES,"Number of Floor/Plots Currently Sanctioned: 2
Number of Floor/Plots Proposed: 2
Number of Floors Constructed: 0"
PBRERA-LDH44-PR0548,PLOT FOR COMMERCIAL DEVELOPMENT,"Number of Floor/Plots Currently Sanctioned: 5
Number of Floor/Plots Proposed: 5
Number of Floors Constructed: 0"
PBRERA-LDH44-PR0548,PLOT FOR GROUP HOUSING DEVELOPMENT,"Number of Floor/Plots Currently Sanctioned: 4
Number of Floor/Plots Proposed: 4
Number of Floors Constructed: 0"
PBRERA-LDH44-PR0548,PLOT FOR INDEPENDENT FLOOR DEVELOPMENT,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-KPT40-PR0951,TOWER-I,"Number of Floor/Plots Currently Sanctioned: 20
Number of Floor/Plots Proposed: 20
Number of Floors Constructed: 0"
PBRERA-KPT40-PR0951,TOWER-J,"Number of Floor/Plots Currently Sanctioned: 20
Number of Floor/Plots Proposed: 20
Number of Floors Constructed: 0"
PBRERA-KPT40-PR0951,TOWER-K,"Number of Floor/Plots Currently Sanctioned: 20
Number of Floor/Plots Proposed: 20
Number of Floors Constructed: 0"
PBRERA-KPT40-PR0767,TOWER M-1 3BHK FLATS,"Number of Floor/Plots Currently Sanctioned: 20
Number of Floor/Plots Proposed: 20
Number of Floors Constructed: 0"
PBRERA-KPT40-PR0767,TOWER M-1 EWS FLATS,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-KPT40-PR0767,TOWER M-2 3BHK FLATS,"Number of Floor/Plots Currently Sanctioned: 20
Number of Floor/Plots Proposed: 20
Number of Floors Constructed: 0"
PBRERA-KPT40-PR0767,TOWER M-2 EWS FLATS,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-KPT40-PR0140,TOWER B,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-KPT40-PR0140,TOWER C,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-KPT40-PR0140,TOWER D,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-KPT40-PR0140,TOWER E,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-KPT40-PR0140,TOWER F,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-KPT40-PR0140,TOWER G,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-KPT40-PR0140,TOWER H,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-KPT40-PR0140,TOWER A,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 1"
PBRERA-JAL33-PR1043,RESIDENTIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 14
Number of Floor/Plots Proposed: 86
Number of Floors Constructed: 0"
PBRERA-JAL33-PR1043,COMMERCIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 19
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0832,TOWER-E F G H 2BHK FLATS,"Number of Floor/Plots Currently Sanctioned: 23
Number of Floor/Plots Proposed: 23
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0832,TOWER-E F G H 1BHK FLATS,"Number of Floor/Plots Currently Sanctioned: 23
Number of Floor/Plots Proposed: 23
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0832,TOWER-I J K L 3BHK FLATS,"Number of Floor/Plots Currently Sanctioned: 23
Number of Floor/Plots Proposed: 23
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0832,TOWER-M N O P 1 BHK FLATS,"Number of Floor/Plots Currently Sanctioned: 23
Number of Floor/Plots Proposed: 23
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0832,TOWER-M N O P 2BHK FLATS,"Number of Floor/Plots Currently Sanctioned: 23
Number of Floor/Plots Proposed: 23
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0797,BLOCK-1 TOWER-A 3BHK,"Number of Floor/Plots Currently Sanctioned: 19
Number of Floor/Plots Proposed: 19
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0797,BLOCK-1 TOWER-B 3BHK,"Number of Floor/Plots Currently Sanctioned: 19
Number of Floor/Plots Proposed: 19
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0797,BLOCK-1 TOWER-C 3BHK,"Number of Floor/Plots Currently Sanctioned: 19
Number of Floor/Plots Proposed: 19
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0797,BLOCK-1 TOWER-D 3BHK,"Number of Floor/Plots Currently Sanctioned: 19
Number of Floor/Plots Proposed: 19
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0797,EWS TOWER,"Number of Floor/Plots Currently Sanctioned: 4
Number of Floor/Plots Proposed: 4
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0779,COMMERCIAL FOR CHUNK SITES,"Number of Floor/Plots Currently Sanctioned: 2
Number of Floor/Plots Proposed: 2
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0779,TOWER M-1 3BHK FLATS,"Number of Floor/Plots Currently Sanctioned: 17
Number of Floor/Plots Proposed: 17
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0779,TOWER M-1 EWS FLATS,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0779,TOWER M-2 3BHK FLATS,"Number of Floor/Plots Currently Sanctioned: 17
Number of Floor/Plots Proposed: 17
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0779,TOWER M-2 EWS FLATS,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0779,TOWER M-3 EWS FLATS,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0779,TOWER M-3 3BHK FLATS,"Number of Floor/Plots Currently Sanctioned: 17
Number of Floor/Plots Proposed: 17
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0598,RESIDENTIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 135
Number of Floor/Plots Proposed: 135
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0598,SHOPS,"Number of Floor/Plots Currently Sanctioned: 52
Number of Floor/Plots Proposed: 52
Number of Floors Constructed: 0"
PBRERA-JAL33-PR0598,EWS PLOTS,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
